49
2222 2726
 515 1009 0
 727  871 0
 492  745 0
 235  446 0
 572 1019 0
 521  964 0
 545  423 0
 334  864 0
 306  637 0
 624  613 0
 479  285 0
 759  430 0
 436  345 0
 661  991 0
 676  145 0
 325  437 0
 255  153 0
 602 1039 0
 141 1073 0
 575  722 0
 837  192 0
 865  921 0
 487  261 0
 435  255 0
 470  355 0
 855  713 0
 589  214 0
 200  606 0
 195  894 0
 615 1000 0
 567  753 0
 852  810 0
 792  157 0
 148  610 0
 333  569 0
 274  829 0
 548  905 0
 289 1027 0
 460  680 0
 335  240 0
 794  415 0
 473  308 0
 727  256 0
 780  737 0
 560  617 0
 385  357 0
 218 1036 0
 871 1006 0
 560 1059 0
apt6
