 62 
 3500 3500 
 365 185 67525 
 378 200 75600 
 410 165 67650 
 425 148 62900 
 425 296 125800 
 439 116 50924 
 464 1006 466784 
 520 205 106600 
 520 350 182000 
 540 530 286200 
 549 1413 775737 
 549 1882 1033218 
 553 496 274288 
 555 755 419025 
 555 496 275280 
 555 659 365745 
 567 473 268191 
 572 592 338624 
 572 975 557700 
 572 1175 672100 
 572 1575 900900 
 572 1390 795080 
 572 1490 852280 
 572 1590 909480 
 572 1690 966680 
 572 1890 1081080 
 610 625 381250 
 660 490 323400 
 690 447 308430 
 949 445 422305 
 949 478 453622
 970 463 449110
 541 745 403045 
 344 301 103544 
 413 294 121422 
 266 341 90706 
 543 388 210684 
 367 701 257267 
 526 707 371882 
 286 706 201916 
 614 289 177446 
 348 592 206016 
 673 431 290063 
 475 362 171950 
 562 439 246718 
 530 638 338140 
 609 375 228375 
 540 274 147960 
 486 634 308124 
 272 377 102544 
 623 306 190638 
 266 714 189924 
 341 336 114576 
 340 296 100640 
 531 479 254349 
 571 589 336319 
 674 496 334304 
 560 497 278320 
 509 389 198001 
 650 332 215800 
 474 285 135090 
 419 503 210757 
gcut16
