Instancia | Area Maxima | Tempo (s)
apt1.txt | 3438996 | 11.1873
apt10.txt | 6569070 | 4.9237
apt11.txt | 7741272 | 10.6133
apt12.txt | 4891570 | 8.5875
apt13.txt | 5400772 | 13.1975
apt14.txt | 4754588 | 10.9359
apt15.txt | 5390132 | 10.3289
apt16.txt | 4634680 | 6.8851
apt17.txt | 3745059 | 8.2663
apt18.txt | 3234122 | 10.8830
apt19.txt | 5286620 | 13.7246
apt2.txt | 4060416 | 15.5536
apt20.txt | 5011420 | 15.3350
apt3.txt | 4891836 | 5.5641
apt4.txt | 3327295 | 14.6259
apt5.txt | 4298463 | 7.3919
apt6.txt | 5707584 | 11.6855
apt7.txt | 7244749 | 8.8090
apt8.txt | 4379791 | 14.7582
apt9.txt | 5572729 | 5.2754
b1.txt | 5871332 | 7.9003
b2.txt | 5556509 | 8.3107
b3.txt | 6348477 | 7.6415
b4.txt | 5940013 | 8.0458
b5.txt | 6118521 | 7.9998
b6.txt | 5830094 | 8.2027
b7.txt | 7553590 | 131.9639
cgcut1.txt | 98 | 0.3151
cgcut2.txt | 2188 | 0.4794
cgcut3.txt | 2721 | 0.6178
ex1.txt | 1008 | 0.1455
gcut1.txt | 48368 | 0.2076
gcut10.txt | 903435 | 0.5038
gcut11.txt | 955389 | 1.2619
gcut12.txt | 954730 | 1.1864
gcut13.txt | 8470297 | 5.4170
gcut14.txt | 11560800 | 14.0731
gcut15.txt | 11337678 | 23.2482
gcut16.txt | 11662401 | 30.8745
gcut17.txt | 11548823 | 59.3883
gcut2.txt | 59307 | 0.6352
gcut3.txt | 60241 | 0.8130
gcut4.txt | 60681 | 1.3543
gcut5.txt | 195582 | 0.2659
gcut6.txt | 236305 | 0.5907
gcut7.txt | 238974 | 0.8490
gcut8.txt | 241167 | 1.8959
gcut9.txt | 919476 | 0.3451
lu1.txt | 254865418 | 171.6285
lu2.txt | 254901510 | 171.8223
lu3.txt | 271215308 | 490.3036
lu4.txt | 420164060 | 1093.6491
lw1.txt | 254865418 | 173.4213
lw2.txt | 254901510 | 173.0266
lw3.txt | 271215308 | 494.2984
lw4.txt | 420164060 | 1120.6357
m1.txt | 14088 | 0.4344
m2.txt | 67227 | 0.5828
m3.txt | 128033 | 0.4075
m4.txt | 250667 | 0.3948
m5.txt | 545771 | 0.4659
mw1.txt | 13899 | 0.4413
mw2.txt | 64509 | 0.4618
mw3.txt | 133062 | 0.4187
mw4.txt | 250667 | 0.4724
mw5.txt | 545771 | 0.4694
ngcut1.txt | 75 | 0.1228
ngcut10.txt | 660 | 0.1766
ngcut11.txt | 651 | 0.2691
ngcut12.txt | 792 | 0.3415
ngcut2.txt | 83 | 0.2135
ngcut3.txt | 90 | 0.3551
ngcut4.txt | 108 | 0.1636
ngcut5.txt | 130 | 0.2207
ngcut6.txt | 142 | 0.3634
ngcut7.txt | 154 | 0.1529
ngcut8.txt | 312 | 0.2900
ngcut9.txt | 372 | 0.3613
okp1.txt | 9284 | 0.6546
okp2.txt | 9615 | 1.5231
okp3.txt | 9681 | 1.3631
okp4.txt | 9801 | 1.7066
okp5.txt | 9619 | 1.5243
uu1.txt | 236144 | 0.9268
uu10.txt | 11418039 | 2.1709
uu11.txt | 12372571 | 2.1888
uu2.txt | 572710 | 1.4307
uu3.txt | 1054850 | 1.1046
uu4.txt | 1121397 | 1.7973
uu5.txt | 1755094 | 2.1269
uu6.txt | 2851381 | 1.4041
uu7.txt | 2859010 | 1.8672
uu8.txt | 3781460 | 2.0611
uu9.txt | 5713591 | 2.7842
uw1.txt | 233458 | 1.0412
uw10.txt | 12307944 | 2.7947
uw11.txt | 336028 | 2.7588
uw2.txt | 385993 | 1.9263
uw3.txt | 433977 | 1.3957
uw4.txt | 1227774 | 2.5899
uw5.txt | 1527389 | 1.5156
uw6.txt | 2613042 | 2.0353
uw7.txt | 4015051 | 2.2912
uw8.txt | 7101432 | 2.8285
uw9.txt | 9367621 | 1.8584
