blasz2: L=22.00, Taxa de Ocupacao=68.48%, Itens Empacotados=16/16, Tempo=78.58s
blazewicz1: L=8.00, Taxa de Ocupacao=67.50%, Itens Empacotados=7/7, Tempo=4.82s
blazewicz2: L=15.00, Taxa de Ocupacao=72.00%, Itens Empacotados=14/14, Tempo=36.52s
blazewicz3: L=21.00, Taxa de Ocupacao=77.14%, Itens Empacotados=21/21, Tempo=118.37s
blazewicz4: L=28.00, Taxa de Ocupacao=77.14%, Itens Empacotados=28/28, Tempo=285.23s
blazewicz5: L=36.00, Taxa de Ocupacao=75.00%, Itens Empacotados=35/35, Tempo=558.31s
dagli1: L=23.00, Taxa de Ocupacao=73.30%, Itens Empacotados=10/10, Tempo=68.53s
dighe1: L=100.00, Taxa de Ocupacao=100.00%, Itens Empacotados=16/16, Tempo=2092.33s
dighe2: L=129.00, Taxa de Ocupacao=77.52%, Itens Empacotados=10/10, Tempo=811.85s
fu: L=34.00, Taxa de Ocupacao=83.82%, Itens Empacotados=12/12, Tempo=150.34s
fu10: L=30.00, Taxa de Ocupacao=84.82%, Itens Empacotados=10/10, Tempo=85.01s
fu5: L=18.00, Taxa de Ocupacao=64.04%, Itens Empacotados=5/5, Tempo=6.63s
fu6: L=24.00, Taxa de Ocupacao=69.52%, Itens Empacotados=6/6, Tempo=18.61s
fu7: L=24.00, Taxa de Ocupacao=77.19%, Itens Empacotados=7/7, Tempo=28.29s
fu8: L=24.00, Taxa de Ocupacao=82.13%, Itens Empacotados=8/8, Tempo=41.37s
fu9: L=27.00, Taxa de Ocupacao=82.55%, Itens Empacotados=9/9, Tempo=58.99s
han: L=45.00, Taxa de Ocupacao=75.48%, Itens Empacotados=23/23, Tempo=989.66s
jakobs1: L=12.00, Taxa de Ocupacao=81.67%, Itens Empacotados=25/25, Tempo=172.73s
poly1a: L=17.00, Taxa de Ocupacao=60.29%, Itens Empacotados=15/15, Tempo=94.99s
poly1b: L=20.00, Taxa de Ocupacao=61.81%, Itens Empacotados=15/15, Tempo=117.78s
poly1c: L=13.00, Taxa de Ocupacao=60.67%, Itens Empacotados=15/15, Tempo=56.18s
poly1d: L=13.00, Taxa de Ocupacao=62.88%, Itens Empacotados=15/15, Tempo=78.39s
poly1e: L=13.00, Taxa de Ocupacao=55.58%, Itens Empacotados=15/15, Tempo=67.62s
rco1: L=8.00, Taxa de Ocupacao=78.75%, Itens Empacotados=7/7, Tempo=4.71s
rco2: L=15.00, Taxa de Ocupacao=84.00%, Itens Empacotados=14/14, Tempo=38.56s
rco3: L=23.00, Taxa de Ocupacao=82.17%, Itens Empacotados=21/21, Tempo=129.46s
rco4: L=30.00, Taxa de Ocupacao=84.00%, Itens Empacotados=28/28, Tempo=305.83s
rco5: L=38.00, Taxa de Ocupacao=82.89%, Itens Empacotados=35/35, Tempo=600.50s
shapes15: L=64.00, Taxa de Ocupacao=62.34%, Itens Empacotados=43/43, Tempo=3761.59s
shapes2: L=14.00, Taxa de Ocupacao=57.14%, Itens Empacotados=8/8, Tempo=15.01s
shapes4: L=26.00, Taxa de Ocupacao=61.54%, Itens Empacotados=16/16, Tempo=159.96s
shapes5: L=32.00, Taxa de Ocupacao=62.50%, Itens Empacotados=20/20, Tempo=336.95s
shapes7: L=42.00, Taxa de Ocupacao=66.67%, Itens Empacotados=28/28, Tempo=981.60s
shapes9: L=50.00, Taxa de Ocupacao=64.80%, Itens Empacotados=34/34, Tempo=1833.81s
