blasz2: L=22.00, Taxa de Ocupacao=68.48%, Itens Empacotados=16/16, Tempo=90.74s
blazewicz1: L=8.00, Taxa de Ocupacao=67.50%, Itens Empacotados=7/7, Tempo=5.41s
blazewicz2: L=15.00, Taxa de Ocupacao=72.00%, Itens Empacotados=14/14, Tempo=41.73s
blazewicz3: L=21.00, Taxa de Ocupacao=77.14%, Itens Empacotados=21/21, Tempo=142.40s
blazewicz4: L=29.00, Taxa de Ocupacao=74.48%, Itens Empacotados=28/28, Tempo=339.10s
blazewicz5: L=35.00, Taxa de Ocupacao=77.14%, Itens Empacotados=35/35, Tempo=662.31s
dagli1: L=23.00, Taxa de Ocupacao=73.30%, Itens Empacotados=10/10, Tempo=78.53s
dighe1: L=131.00, Taxa de Ocupacao=76.34%, Itens Empacotados=16/16, Tempo=2929.79s
dighe2: L=100.00, Taxa de Ocupacao=100.00%, Itens Empacotados=10/10, Tempo=899.37s
fu: L=35.00, Taxa de Ocupacao=81.43%, Itens Empacotados=12/12, Tempo=169.39s
fu10: L=30.00, Taxa de Ocupacao=84.82%, Itens Empacotados=10/10, Tempo=99.24s
fu5: L=18.00, Taxa de Ocupacao=64.04%, Itens Empacotados=5/5, Tempo=7.36s
fu6: L=24.00, Taxa de Ocupacao=69.52%, Itens Empacotados=6/6, Tempo=21.37s
fu7: L=24.00, Taxa de Ocupacao=77.19%, Itens Empacotados=7/7, Tempo=32.26s
fu8: L=24.00, Taxa de Ocupacao=82.13%, Itens Empacotados=8/8, Tempo=48.23s
fu9: L=28.00, Taxa de Ocupacao=79.61%, Itens Empacotados=9/9, Tempo=66.98s
han: L=45.00, Taxa de Ocupacao=75.48%, Itens Empacotados=23/23, Tempo=1151.50s
jakobs1: L=12.00, Taxa de Ocupacao=81.67%, Itens Empacotados=25/25, Tempo=207.75s
poly1a: L=16.00, Taxa de Ocupacao=64.06%, Itens Empacotados=15/15, Tempo=112.91s
poly1b: L=20.00, Taxa de Ocupacao=61.81%, Itens Empacotados=15/15, Tempo=137.46s
poly1c: L=13.00, Taxa de Ocupacao=60.67%, Itens Empacotados=15/15, Tempo=66.05s
poly1d: L=13.00, Taxa de Ocupacao=62.88%, Itens Empacotados=15/15, Tempo=92.02s
poly1e: L=13.00, Taxa de Ocupacao=55.58%, Itens Empacotados=15/15, Tempo=79.01s
rco1: L=8.00, Taxa de Ocupacao=78.75%, Itens Empacotados=7/7, Tempo=5.20s
rco2: L=15.00, Taxa de Ocupacao=84.00%, Itens Empacotados=14/14, Tempo=43.94s
rco3: L=23.00, Taxa de Ocupacao=82.17%, Itens Empacotados=21/21, Tempo=151.91s
rco4: L=30.00, Taxa de Ocupacao=84.00%, Itens Empacotados=28/28, Tempo=357.99s
rco5: L=38.00, Taxa de Ocupacao=82.89%, Itens Empacotados=35/35, Tempo=699.65s
shapes15: L=64.00, Taxa de Ocupacao=62.34%, Itens Empacotados=43/43, Tempo=4454.09s
shapes2: L=14.00, Taxa de Ocupacao=57.14%, Itens Empacotados=8/8, Tempo=17.13s
shapes4: L=25.00, Taxa de Ocupacao=64.00%, Itens Empacotados=16/16, Tempo=187.67s
shapes5: L=31.00, Taxa de Ocupacao=64.52%, Itens Empacotados=20/20, Tempo=399.90s
shapes7: L=43.00, Taxa de Ocupacao=65.12%, Itens Empacotados=28/28, Tempo=1187.17s
shapes9: L=51.00, Taxa de Ocupacao=63.53%, Itens Empacotados=34/34, Tempo=2159.62s
shirts: L=65.00, Taxa de Ocupacao=83.08%, Itens Empacotados=99/99, Tempo=18283.12s
shirts1-2: L=13.00, Taxa de Ocupacao=52.88%, Itens Empacotados=13/13, Tempo=10.39s
shirts2-4: L=19.00, Taxa de Ocupacao=72.37%, Itens Empacotados=26/26, Tempo=208.48s
shirts3-6: L=25.00, Taxa de Ocupacao=82.50%, Itens Empacotados=39/39, Tempo=791.76s
shirts4-8: L=33.00, Taxa de Ocupacao=83.33%, Itens Empacotados=52/52, Tempo=2082.40s
shirts5-10: L=41.00, Taxa de Ocupacao=83.84%, Itens Empacotados=65/65, Tempo=4380.90s
three: L=7.00, Taxa de Ocupacao=46.94%, Itens Empacotados=3/3, Tempo=0.66s
threep2: L=10.00, Taxa de Ocupacao=65.71%, Itens Empacotados=6/6, Tempo=3.53s
threep2w9: L=9.00, Taxa de Ocupacao=56.79%, Itens Empacotados=6/6, Tempo=3.61s
threep3: L=14.00, Taxa de Ocupacao=70.41%, Itens Empacotados=9/9, Tempo=10.78s
threep3w9: L=12.00, Taxa de Ocupacao=63.89%, Itens Empacotados=9/9, Tempo=10.88s
