Instancia=blasz2 | Seed=42 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43541244 | Checks_NFP=176484496 | Tempo=175.3277s
Instancia=blasz2 | Seed=43 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43525902 | Checks_NFP=176190139 | Tempo=178.2664s
Instancia=blasz2 | Seed=44 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43553827 | Checks_NFP=176541606 | Tempo=171.7638s
Instancia=blasz2 | Seed=45 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43543870 | Checks_NFP=176599419 | Tempo=170.3570s
Instancia=blasz2 | Seed=46 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43527372 | Checks_NFP=176560544 | Tempo=170.2990s
Instancia=blasz2 | Seed=47 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43487498 | Checks_NFP=176417983 | Tempo=178.0077s
Instancia=blasz2 | Seed=48 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43576428 | Checks_NFP=176700197 | Tempo=170.0886s
Instancia=blasz2 | Seed=49 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43683307 | Checks_NFP=176737028 | Tempo=175.7600s
Instancia=blasz2 | Seed=50 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43563752 | Checks_NFP=176538535 | Tempo=175.0488s
Instancia=blasz2 | Seed=51 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43546247 | Checks_NFP=176545630 | Tempo=173.9616s
Instancia=blasz2 | Seed=52 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43662334 | Checks_NFP=176747206 | Tempo=175.1302s
Instancia=blasz2 | Seed=53 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43545039 | Checks_NFP=176311993 | Tempo=180.4931s
Instancia=blasz2 | Seed=54 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43479688 | Checks_NFP=176262335 | Tempo=175.5728s
Instancia=blasz2 | Seed=55 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43593561 | Checks_NFP=176737095 | Tempo=176.3166s
Instancia=blasz2 | Seed=56 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43494508 | Checks_NFP=176356609 | Tempo=171.7900s
Instancia=blasz2 | Seed=57 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43632342 | Checks_NFP=176722560 | Tempo=179.1964s
Instancia=blasz2 | Seed=58 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43522449 | Checks_NFP=176466732 | Tempo=172.8490s
Instancia=blasz2 | Seed=59 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43577344 | Checks_NFP=176452218 | Tempo=174.4289s
Instancia=blasz2 | Seed=60 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43510867 | Checks_NFP=176157953 | Tempo=181.4034s
Instancia=blasz2 | Seed=61 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43481063 | Checks_NFP=176098310 | Tempo=188.1428s
Instancia=blasz2 | Seed=62 | L=22.00 | Ocupacao=68.48% | Avaliacoes_BL=43544231 | Checks_NFP=176514114 | Tempo=180.8307s
