Instancia | Area Maxima | Tempo (s)
apt1.txt | 3356992 | 6.5785
apt10.txt | 6527943 | 3.0278
apt11.txt | 7743941 | 5.9806
apt12.txt | 4941435 | 3.8063
apt13.txt | 5494486 | 5.4371
apt14.txt | 4578844 | 5.6141
apt15.txt | 5281608 | 5.8308
apt16.txt | 4491418 | 3.7107
apt17.txt | 3706982 | 4.1011
apt18.txt | 3124024 | 4.9248
apt19.txt | 5416295 | 5.5584
apt2.txt | 3981027 | 8.7858
apt20.txt | 4897183 | 7.9351
apt3.txt | 5002168 | 2.5864
apt4.txt | 3309317 | 5.9799
apt5.txt | 4180648 | 3.0494
apt6.txt | 5770382 | 5.3884
apt7.txt | 7131396 | 6.0765
apt8.txt | 4276285 | 7.9469
apt9.txt | 5317501 | 2.4275
b1.txt | 5871332 | 3.7894
b2.txt | 5556509 | 3.9692
b3.txt | 6348477 | 3.7013
b4.txt | 5940013 | 3.8488
b5.txt | 6118521 | 3.7871
b6.txt | 5830094 | 3.9542
b7.txt | 7564277 | 85.5631
cgcut1.txt | 98 | 0.1254
cgcut2.txt | 2188 | 0.3080
cgcut3.txt | 2721 | 0.2907
ex1.txt | 1008 | 0.0716
gcut1.txt | 48368 | 0.1075
gcut10.txt | 903435 | 0.2545
gcut11.txt | 955389 | 0.4933
gcut12.txt | 940867 | 0.6811
gcut13.txt | 8494515 | 3.2858
gcut14.txt | 11270042 | 6.9193
gcut15.txt | 11374756 | 10.7080
gcut16.txt | 11490450 | 16.9693
gcut17.txt | 11265315 | 29.9249
gcut2.txt | 59307 | 0.3508
gcut3.txt | 58866 | 0.4090
gcut4.txt | 60089 | 0.6223
gcut5.txt | 195582 | 0.1503
gcut6.txt | 236305 | 0.2479
gcut7.txt | 236483 | 0.4387
gcut8.txt | 241860 | 0.8027
gcut9.txt | 919476 | 0.1637
lu1.txt | 254865418 | 84.6193
lu2.txt | 254901510 | 84.6175
lu3.txt | 271215308 | 240.6070
lu4.txt | 420164060 | 520.1017
lw1.txt | 254865418 | 85.6004
lw2.txt | 254901510 | 85.0961
lw3.txt | 271215308 | 243.1569
lw4.txt | 420164060 | 523.4849
m1.txt | 13899 | 0.2333
m2.txt | 64509 | 0.2066
m3.txt | 133062 | 0.1970
m4.txt | 250667 | 0.1998
m5.txt | 545771 | 0.2217
mw1.txt | 14088 | 0.1852
mw2.txt | 64509 | 0.2374
mw3.txt | 133062 | 0.2124
mw4.txt | 247698 | 0.2155
mw5.txt | 538994 | 0.2194
ngcut1.txt | 75 | 0.0670
ngcut10.txt | 660 | 0.0614
ngcut11.txt | 651 | 0.1041
ngcut12.txt | 792 | 0.1693
ngcut2.txt | 83 | 0.0939
ngcut3.txt | 90 | 0.1804
ngcut4.txt | 108 | 0.0810
ngcut5.txt | 130 | 0.1604
ngcut6.txt | 142 | 0.1725
ngcut7.txt | 154 | 0.0789
ngcut8.txt | 312 | 0.1152
ngcut9.txt | 372 | 0.1758
okp1.txt | 9284 | 0.3732
okp2.txt | 9681 | 0.7545
okp3.txt | 9681 | 0.6448
okp4.txt | 9805 | 0.6922
okp5.txt | 9618 | 0.7470
uu1.txt | 232243 | 0.5019
uu10.txt | 11587491 | 1.0949
uu11.txt | 12582653 | 0.7510
uu2.txt | 555850 | 0.5149
uu3.txt | 1064079 | 0.5272
uu4.txt | 1130049 | 0.9564
uu5.txt | 1838414 | 0.8387
uu6.txt | 2747883 | 0.9678
uu7.txt | 2733409 | 1.1010
uu8.txt | 3832267 | 1.2782
uu9.txt | 5832782 | 1.2708
uw1.txt | 236205 | 0.5371
uw10.txt | 12042806 | 1.9349
uw11.txt | 330412 | 1.4134
uw2.txt | 392050 | 0.9000
uw3.txt | 429697 | 0.6380
uw4.txt | 1203386 | 1.2001
uw5.txt | 1549596 | 0.7293
uw6.txt | 2598179 | 1.1767
uw7.txt | 4042897 | 1.1508
uw8.txt | 7065241 | 1.0786
uw9.txt | 9120683 | 1.0707
